epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.60857,3.10504,5.56392,2.09755,0,0,0,0,3.07786,4.17645,2.60067,4e-05,4e-05,4e-05
2,9.15734,3.47837,4.19439,2.42462,0,0,0,0,2.95741,4.13087,2.48565,9.802e-05,9.802e-05,9.802e-05
3,9.74747,2.92715,4.27865,1.97301,0,0,0,0,2.49927,4.07337,2.27926,0.000153664,0.000153664,0.000153664
4,10.3782,2.24659,3.70998,1.59055,0.00335,0.5,0.00655,0.00302,1.61815,3.65542,1.45123,0.000206932,0.000206932,0.000206932
5,10.9954,1.49583,3.11222,1.11855,0.00667,1,0.02627,0.01658,1.36474,3.20742,0.98145,0.000257824,0.000257824,0.000257824
6,11.5997,1.2461,2.44585,1.04562,0.00667,1,0.41672,0.20933,1.46988,3.07746,0.94472,0.00030634,0.00030634,0.00030634
7,12.3727,1.05718,1.8963,0.95024,0.00667,1,0.89732,0.45993,1.29095,2.94965,0.90465,0.00035248,0.00035248,0.00035248
8,12.8721,1.16975,1.53231,0.98788,0.00667,1,0.93529,0.54753,1.17644,2.89775,0.87821,0.000396244,0.000396244,0.000396244
9,13.3911,1.06628,1.28291,1.00933,0.00667,1,0.89103,0.46895,1.10444,2.94376,0.88904,0.000437632,0.000437632,0.000437632
10,13.9159,1.12385,1.15459,0.98782,0.00667,1,0.81037,0.42741,1.01819,2.89775,0.84758,0.000476644,0.000476644,0.000476644
11,14.4758,1.08731,1.18246,0.99102,0.00667,1,0.24032,0.15713,0.91078,2.85696,0.82666,0.00051328,0.00051328,0.00051328
12,15.015,1.01494,1.13405,0.96175,0.00667,1,0.18323,0.10838,0.96227,2.83934,0.8486,0.00054754,0.00054754,0.00054754
13,15.4823,0.97651,1.24338,0.95618,0.00667,1,0.18008,0.12324,0.97524,2.82688,0.86491,0.000579424,0.000579424,0.000579424
14,15.961,0.93964,1.12905,0.98307,0.00667,1,0.07051,0.05291,0.85383,2.85466,0.84109,0.000608932,0.000608932,0.000608932
15,16.4578,1.03519,1.15785,0.96079,0.00667,1,0.05939,0.04414,0.9707,2.84641,0.86014,0.000636064,0.000636064,0.000636064
16,16.9328,1.06075,1.07066,0.9686,0.00667,1,0.12676,0.09286,0.86396,2.81581,0.83581,0.00066082,0.00066082,0.00066082
17,17.5244,0.87967,1.02233,0.9483,0.00667,1,0.43214,0.33994,0.87264,2.71067,0.85996,0.0006832,0.0006832,0.0006832
18,18.2452,0.948,1.01426,0.97333,0.00667,1,0.88888,0.62212,1.12844,2.62193,0.93399,0.000703204,0.000703204,0.000703204
19,18.7802,0.89978,1.12139,0.93397,0.00667,1,0.97095,0.65615,1.12393,2.53934,0.92771,0.000720832,0.000720832,0.000720832
20,19.3247,0.94353,0.95358,0.95061,0.00667,1,0.98511,0.72374,0.96001,2.487,0.87873,0.000736084,0.000736084,0.000736084
21,19.8514,0.95474,0.90194,0.91862,0.00667,1,0.97586,0.77009,0.87004,2.50557,0.85904,0.00074896,0.00074896,0.00074896
22,20.3873,0.89673,0.92819,0.90271,0.00667,1,0.93692,0.70053,1.0039,2.54614,0.90112,0.00075946,0.00075946,0.00075946
23,20.9332,0.87249,0.91616,0.8726,0.00667,1,0.95806,0.67384,1.06712,2.53709,0.9396,0.000767584,0.000767584,0.000767584
24,21.4738,0.98496,0.96961,0.94865,0.06732,1,0.995,0.76479,0.91375,2.41407,0.90346,0.000773332,0.000773332,0.000773332
25,21.9688,0.83415,0.99872,0.89657,1,0.80954,0.995,0.73691,0.86316,2.27379,0.8746,0.000776704,0.000776704,0.000776704
26,22.4178,0.87884,0.88153,0.91785,1,0.6103,0.995,0.71534,0.91022,2.18762,0.90166,0.0007777,0.0007777,0.0007777
27,22.9269,0.84038,0.95231,0.8798,1,0.4984,0.995,0.71153,0.9908,2.1362,0.95205,0.00077632,0.00077632,0.00077632
28,23.4172,0.84627,0.88085,0.95167,1,0.43399,0.995,0.71929,0.99478,2.10105,0.94906,0.000772564,0.000772564,0.000772564
29,23.9361,0.76346,0.82094,0.85709,1,0.43399,0.995,0.71929,0.99478,2.10105,0.94906,0.000766432,0.000766432,0.000766432
30,24.5884,0.81113,0.8293,0.946,1,0.58916,0.995,0.7649,0.86788,2.04434,0.89914,0.000757924,0.000757924,0.000757924
31,25.1707,1.44967,2.04553,1.23156,1,0.7587,0.995,0.76245,0.84365,1.96767,0.89293,0.00074704,0.00074704,0.00074704
32,25.7282,0.84087,0.85493,0.91673,1,0.84902,0.995,0.74707,0.90376,1.88475,0.92877,0.00073378,0.00073378,0.00073378
33,26.2152,0.82409,0.79018,0.91643,1,0.84902,0.995,0.74707,0.90376,1.88475,0.92877,0.000718144,0.000718144,0.000718144
34,28.1971,0.75894,0.88669,0.90801,1,0.9897,0.995,0.75465,0.89203,1.74007,0.92693,0.0006932,0.0006932,0.0006932
35,28.8388,0.82337,0.78172,0.91911,0.98584,1,0.995,0.78469,0.86522,1.49028,0.9269,0.0006536,0.0006536,0.0006536
36,29.3823,0.80052,0.80898,0.93174,0.99392,1,0.995,0.81349,0.76625,1.26249,0.8982,0.000614,0.000614,0.000614
37,29.9682,0.75053,0.73315,0.88472,0.99392,1,0.995,0.81349,0.76625,1.26249,0.8982,0.0005744,0.0005744,0.0005744
38,30.5241,0.71681,0.79136,0.90594,0.99577,1,0.995,0.81738,0.75635,1.10253,0.88865,0.0005348,0.0005348,0.0005348
39,31.0278,0.73649,0.78266,0.86736,0.99467,1,0.995,0.78834,0.84272,0.98472,0.92186,0.0004952,0.0004952,0.0004952
40,31.4988,0.77729,0.87682,0.88566,0.9951,1,0.995,0.75299,0.92651,0.93981,0.95644,0.0004556,0.0004556,0.0004556
41,33.1472,0.76839,1.02036,0.87517,0.9951,1,0.995,0.75299,0.92651,0.93981,0.95644,0.000416,0.000416,0.000416
42,33.6379,0.76798,0.93645,0.88332,0.99463,1,0.995,0.75946,0.89729,0.94011,0.95134,0.0003764,0.0003764,0.0003764
43,34.0525,0.68264,0.96359,0.86403,0.99446,1,0.995,0.77731,0.81454,0.96566,0.91494,0.0003368,0.0003368,0.0003368
44,34.6557,0.78289,0.94041,0.89757,0.9932,1,0.995,0.80046,0.77279,1.02289,0.89613,0.0002972,0.0002972,0.0002972
45,35.1377,0.7835,0.91876,0.89484,0.9932,1,0.995,0.80046,0.77279,1.02289,0.89613,0.0002576,0.0002576,0.0002576
46,35.596,0.68977,0.92895,0.82886,0.99375,1,0.995,0.79755,0.75969,1.02326,0.88375,0.000218,0.000218,0.000218
47,36.1009,0.68205,0.95847,0.84509,0.9954,1,0.995,0.8075,0.75437,0.97193,0.87568,0.0001784,0.0001784,0.0001784
48,36.6312,0.69422,0.96876,0.84795,0.99614,1,0.995,0.80697,0.76069,0.90233,0.87636,0.0001388,0.0001388,0.0001388
49,37.1278,0.73537,0.9041,0.88092,0.99614,1,0.995,0.80697,0.76069,0.90233,0.87636,9.92e-05,9.92e-05,9.92e-05
50,37.6514,0.65432,0.88507,0.83318,0.99632,1,0.995,0.80227,0.76463,0.84475,0.88028,5.96e-05,5.96e-05,5.96e-05
